Jun 29 2017 at 9:29:01
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.30	17.25	73.82	0.00	0.0692	12.64	556.0	413.25	0.0212	128.7	2.316	4.21	-9.02	1.53
	1.30	17.25	73.82	0.00	0.0692	12.62	555.3	412.78	0.0214	131.3	2.363	4.29	-8.77	1.53
	2.30	17.25	73.82	0.00	0.0691	12.61	554.9	412.45	0.0224	137.8	2.481	4.51	-8.14	1.53
	3.30	17.28	73.85	0.00	0.0690	12.59	553.9	411.58	0.0223	136.9	2.464	4.48	-8.23	1.53
	4.28	17.26	73.85	0.00	0.0689	12.58	553.4	411.21	0.0222	135.9	2.446	4.44	-8.32	1.53
	5.30	17.26	73.82	0.00	0.0688	12.54	552.0	410.29	0.0224	137.9	2.482	4.51	-8.14	1.53
	6.28	17.29	73.80	0.00	0.0688	12.55	552.0	410.50	0.0225	138.2	2.487	4.52	-8.11	1.53
	7.30	17.29	73.85	0.00	0.0688	12.52	551.0	409.51	0.0227	140.3	2.526	4.59	-7.91	1.53
	8.28	17.31	73.82	0.00	0.0686	12.50	550.2	409.03	0.0233	144.0	2.591	4.71	-7.58	1.53
	9.30	17.29	73.82	0.00	0.0687	12.52	550.7	409.36	0.0230	142.5	2.566	4.66	-7.71	1.53
	10.28	17.31	73.82	0.00	0.0687	12.52	550.9	409.55	0.0229	140.9	2.536	4.61	-7.86	1.53
	11.30	17.31	73.82	0.00	0.0686	12.50	550.1	408.99	0.0232	142.1	2.557	4.65	-7.75	1.53
	12.36	17.33	73.85	0.00	0.0685	12.50	549.8	408.63	0.0233	144.3	2.598	4.72	-7.54	1.53
	13.30	17.29	73.85	0.00	0.0685	12.49	549.4	408.25	0.0235	145.1	2.612	4.75	-7.47	1.53
	14.30	17.31	73.85	0.00	0.0685	12.48	549.3	408.24	0.0234	144.7	2.604	4.73	-7.51	1.53
	15.30	17.33	73.77	0.00	0.0684	12.48	548.9	408.39	0.0238	145.5	2.619	4.76	-7.44	1.53
	16.30	17.31	73.82	0.00	0.0683	12.41	545.9	405.88	0.0244	158.3	2.849	5.18	-6.35	1.53
	17.28	17.31	73.82	0.00	0.0684	12.45	547.8	407.23	0.0237	149.0	2.682	4.87	-7.13	1.53
	18.30	17.33	73.85	0.00	0.0684	12.44	547.3	406.75	0.0240	150.2	2.703	4.91	-7.03	1.53
	19.28	17.31	73.82	0.00	0.0683	12.43	547.1	406.72	0.0242	150.6	2.710	4.93	-7.00	1.53
	20.30	17.31	73.80	0.00	0.0683	12.44	547.2	406.95	0.0244	149.9	2.699	4.91	-7.05	1.53
	21.28	17.33	73.82	0.00	0.0683	12.42	546.4	406.24	0.0250	153.4	2.761	5.02	-6.75	1.53
	22.30	17.34	73.85	0.00	0.0681	12.40	545.8	405.69	0.0256	156.1	2.810	5.11	-6.52	1.53
	23.36	17.36	73.82	0.00	0.0681	12.40	545.5	405.62	0.0253	157.8	2.841	5.16	-6.38	1.53
	24.30	17.34	73.82	0.00	0.0682	12.40	545.7	405.77	0.0246	154.8	2.786	5.06	-6.64	1.53
	27.67	17.34	73.82	0.00	0.0682	12.39	545.1	405.32	0.0248	158.0	2.844	5.17	-6.37	1.53
	27.67	17.36	73.82	0.00	0.0682	12.39	545.3	405.43	0.0249	156.9	2.825	5.13	-6.46	1.53
	27.67	17.38	73.82	0.00	0.0681	12.38	544.6	404.99	0.0256	161.0	2.897	5.27	-6.12	1.53
	28.30	17.38	73.85	0.00	0.0678	12.31	541.8	402.75	0.0271	174.5	3.142	5.71	-5.06	1.53
	29.30	17.36	73.82	0.00	0.0680	12.36	543.8	404.37	0.0264	166.3	2.993	5.44	-5.70	1.53
	30.30	17.36	73.85	0.00	0.0678	12.32	541.9	402.79	0.0276	175.8	3.165	5.75	-4.96	1.53
	31.30	17.36	73.85	0.00	0.0678	12.32	542.2	403.00	0.0281	177.7	3.199	5.81	-4.82	1.53
	32.28	17.39	73.82	0.00	0.0679	12.35	543.3	403.99	0.0265	166.6	2.999	5.45	-5.67	1.53
	33.30	17.38	73.82	0.00	0.0680	12.33	542.5	403.43	0.0268	171.4	3.086	5.61	-5.30	1.53
	34.28	17.39	73.82	0.00	0.0677	12.31	541.4	402.64	0.0291	177.7	3.198	5.81	-4.82	1.53
	35.30	17.41	73.85	0.00	0.0678	12.31	541.8	402.79	0.0274	175.7	3.162	5.75	-4.97	1.53
	36.28	17.41	73.80	0.00	0.0678	12.29	540.8	402.31	0.0283	183.6	3.305	6.01	-4.39	1.53
	37.30	17.41	73.82	0.00	0.0675	12.21	537.2	399.53	0.0308	203.6	3.664	6.66	-3.01	1.53
	38.28	17.44	73.82	0.00	0.0677	12.28	540.3	401.90	0.0283	184.7	3.325	6.05	-4.31	1.53
	39.30	17.43	73.80	0.00	0.0677	12.29	540.7	402.26	0.0280	181.8	3.273	5.95	-4.52	1.53
	40.30	17.43	73.85	0.00	0.0677	12.30	541.3	402.44	0.0285	180.1	3.242	5.89	-4.64	1.53
	41.30	17.41	73.82	0.00	0.0678	12.31	541.5	402.73	0.0279	177.9	3.203	5.82	-4.80	1.53
	42.30	17.44	73.82	0.00	0.0674	12.25	539.1	400.98	0.0307	194.0	3.492	6.35	-3.65	1.53
	43.30	17.46	73.82	0.00	0.0675	12.24	538.6	400.59	0.0298	193.7	3.486	6.34	-3.68	1.53
	44.30	17.46	73.82	0.00	0.0674	12.25	539.0	400.91	0.0305	191.8	3.452	6.28	-3.81	1.53
	45.30	17.44	73.82	0.00	0.0674	12.19	536.4	398.95	0.0315	210.8	3.795	6.90	-2.54	1.53
	46.30	17.44	73.82	0.00	0.0673	12.20	536.8	399.30	0.0319	210.7	3.792	6.89	-2.55	1.53
	47.28	17.41	73.80	0.00	0.0675	12.21	537.2	399.65	0.0313	206.3	3.713	6.75	-2.83	1.53
	48.30	17.46	73.82	0.00	0.0676	12.27	539.7	401.45	0.0297	190.0	3.419	6.22	-3.93	1.53
	49.28	17.46	73.82	0.00	0.0676	12.26	539.5	401.32	0.0292	190.8	3.435	6.24	-3.87	1.53
	50.30	17.44	73.82	0.00	0.0676	12.26	539.4	401.21	0.0293	189.6	3.412	6.20	-3.96	1.53
	51.28	17.46	73.85	0.00	0.0675	12.25	538.8	400.63	0.0300	194.1	3.494	6.35	-3.65	1.53
	52.30	17.48	73.80	0.00	0.0675	12.24	538.5	400.69	0.0301	195.9	3.526	6.41	-3.52	1.53
	53.36	17.44	73.82	0.00	0.0674	12.22	537.5	399.78	0.0313	204.1	3.674	6.68	-2.97	1.53
	54.30	17.46	73.80	0.00	0.0673	12.19	536.4	399.15	0.0312	208.4	3.750	6.82	-2.70	1.53
	55.30	17.46	73.85	0.00	0.0673	12.19	536.4	398.88	0.0317	210.3	3.786	6.88	-2.57	1.53
	56.30	17.48	73.85	0.00	0.0675	12.23	538.2	400.24	0.0302	196.5	3.536	6.43	-3.48	1.53
	57.30	17.49	73.82	0.00	0.0675	12.23	538.1	400.30	0.0307	199.3	3.588	6.52	-3.29	1.53
	58.30	17.49	73.82	0.00	0.0674	12.22	537.9	400.13	0.0313	202.1	3.637	6.61	-3.11	1.53
	59.30	17.49	73.85	0.00	0.0672	12.18	535.7	398.40	0.0323	212.4	3.824	6.95	-2.43	1.53
	60.30	17.51	73.82	0.00	0.0672	12.17	535.5	398.35	0.0327	215.6	3.881	7.06	-2.23	1.53
	61.30	17.49	73.82	0.00	0.0671	12.13	533.6	396.92	0.0334	224.4	4.039	7.35	-1.69	1.53
	62.28	17.51	73.82	0.00	0.0672	12.19	536.6	399.17	0.0324	208.4	3.750	6.82	-2.69	1.53
	63.30	17.52	73.82	0.00	0.0674	12.22	537.6	399.98	0.0310	203.5	3.663	6.66	-3.01	1.54
