Jun 29 2017 at 9:25:47
Frequency: 1Hz.
CO2
Zero:  Value:0.914415  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00445  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.772015  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.00616  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.03	16.43	73.82	0.00	0.0685	12.44	547.6	405.86	0.0272	179.0	3.221	5.84	-4.77	1.50
	1.05	16.44	73.85	0.00	0.0695	12.77	561.7	416.23	0.0272	173.7	3.126	5.66	-5.17	1.50
	2.03	16.48	73.82	0.00	0.0700	12.75	561.0	415.90	0.0287	188.5	3.392	6.15	-4.08	1.50
	3.05	16.46	73.82	0.00	0.0703	13.07	574.9	426.19	0.0266	172.4	3.103	5.62	-5.26	1.50
	4.03	16.48	73.82	0.00	0.0706	12.96	570.1	422.59	0.0255	161.1	2.899	5.25	-6.16	1.50
	5.05	16.46	73.82	0.00	0.0709	13.09	576.1	427.05	0.0257	161.7	2.910	5.27	-6.11	1.50
	6.03	16.46	73.82	0.00	0.0705	12.94	569.5	422.16	0.0261	164.2	2.955	5.35	-5.91	1.50
	7.03	16.51	73.82	0.00	0.0706	12.97	570.8	423.20	0.0262	166.2	2.991	5.42	-5.75	1.50
	8.03	16.49	73.82	0.00	0.0706	12.98	570.9	423.24	0.0260	164.9	2.969	5.38	-5.84	1.51
	9.03	16.49	73.85	0.00	0.0705	12.96	570.2	422.58	0.0262	165.5	2.980	5.40	-5.80	1.50
	10.03	16.51	73.85	0.00	0.0703	12.91	567.9	420.87	0.0269	170.1	3.062	5.55	-5.44	1.50
	11.03	16.51	73.82	0.00	0.0704	12.91	567.9	421.01	0.0268	171.1	3.079	5.58	-5.36	1.50
	12.11	16.48	73.82	0.00	0.0700	12.87	566.4	419.87	0.0286	176.9	3.183	5.77	-4.93	1.50
	13.03	16.51	73.85	0.00	0.0702	12.88	566.9	420.16	0.0274	174.4	3.140	5.69	-5.11	1.50
	14.05	16.51	73.80	0.00	0.0702	12.86	565.9	419.73	0.0279	177.9	3.202	5.81	-4.85	1.51
	15.03	16.53	73.85	0.00	0.0702	12.89	567.4	420.51	0.0272	172.0	3.096	5.61	-5.29	1.50
	16.05	16.51	73.82	0.00	0.0703	12.89	567.3	420.61	0.0271	172.5	3.105	5.63	-5.25	1.50
	17.03	16.51	73.82	0.00	0.0701	12.88	566.8	420.19	0.0272	173.9	3.130	5.67	-5.15	1.50
	18.05	16.53	73.85	0.00	0.0702	12.86	565.7	419.30	0.0274	177.6	3.196	5.79	-4.87	1.50
	19.03	16.54	73.85	0.00	0.0702	12.87	566.1	419.62	0.0275	174.5	3.141	5.69	-5.10	1.51
	20.05	16.54	73.82	0.00	0.0701	12.85	565.5	419.32	0.0275	176.7	3.180	5.76	-4.94	1.51
	21.03	16.54	73.82	0.00	0.0700	12.82	564.0	418.21	0.0284	182.8	3.290	5.96	-4.49	1.51
	22.03	16.56	73.80	0.00	0.0700	12.84	565.1	419.18	0.0279	177.7	3.198	5.80	-4.86	1.50
	23.03	16.54	73.82	0.00	0.0700	12.80	563.3	417.66	0.0284	185.3	3.336	6.05	-4.31	1.50
	24.03	16.56	73.82	0.00	0.0699	12.82	564.0	418.20	0.0286	182.3	3.282	5.95	-4.52	1.51
	25.03	16.56	73.85	0.00	0.0698	12.79	562.7	417.13	0.0293	188.6	3.395	6.15	-4.07	1.51
	26.03	16.54	73.85	0.00	0.0699	12.82	564.0	418.03	0.0286	183.4	3.301	5.98	-4.45	1.51
	27.11	16.57	73.82	0.00	0.0699	12.80	563.3	417.70	0.0288	184.8	3.326	6.03	-4.34	1.51
	28.03	16.59	73.80	0.00	0.0699	12.74	560.4	415.74	0.0289	197.9	3.562	6.46	-3.43	1.51
	29.05	16.57	73.82	0.00	0.0699	12.80	563.0	417.51	0.0288	185.7	3.342	6.06	-4.28	1.51
	30.03	16.57	73.82	0.00	0.0697	12.79	562.6	417.22	0.0291	188.5	3.393	6.15	-4.08	1.51
	31.05	16.57	73.80	0.00	0.0698	12.78	562.3	417.16	0.0293	189.6	3.412	6.19	-4.00	1.51
	32.03	16.57	73.82	0.00	0.0698	12.78	562.4	417.04	0.0295	189.3	3.408	6.18	-4.02	1.51
	33.05	16.59	73.85	0.00	0.0696	12.75	560.9	415.79	0.0305	196.3	3.533	6.40	-3.54	1.51
	34.03	16.61	73.82	0.00	0.0695	12.74	560.5	415.66	0.0312	197.4	3.554	6.44	-3.46	1.51
	35.05	16.61	73.85	0.00	0.0697	12.76	561.5	416.29	0.0300	193.9	3.489	6.32	-3.70	1.51
	36.03	16.59	73.82	0.00	0.0697	12.75	561.2	416.15	0.0301	195.3	3.515	6.37	-3.61	1.51
	37.03	16.61	73.85	0.00	0.0696	12.75	560.8	415.77	0.0302	196.8	3.542	6.42	-3.50	1.51
	38.11	16.62	73.82	0.00	0.0697	12.75	560.9	416.03	0.0302	196.0	3.527	6.39	-3.56	1.51
	39.03	16.62	73.82	0.00	0.0695	12.73	560.2	415.48	0.0306	198.3	3.569	6.47	-3.40	1.51
	40.11	16.61	73.82	0.00	0.0696	12.70	558.7	414.38	0.0309	206.2	3.711	6.73	-2.88	1.51
	41.03	16.62	73.85	0.00	0.0695	12.72	559.8	415.06	0.0306	201.1	3.620	6.56	-3.21	1.51
	42.05	16.62	73.82	0.00	0.0694	12.72	559.6	415.03	0.0310	202.1	3.638	6.60	-3.14	1.51
	43.03	16.66	73.85	0.00	0.0695	12.71	559.2	414.64	0.0311	204.5	3.681	6.67	-2.98	1.51
	44.05	16.64	73.80	0.00	0.0695	12.71	559.4	415.06	0.0313	203.5	3.662	6.64	-3.05	1.51
	45.03	16.64	73.82	0.00	0.0695	12.71	559.1	414.72	0.0316	206.4	3.716	6.74	-2.86	1.51
	46.05	16.66	73.85	0.00	0.0694	12.69	558.2	413.88	0.0320	209.0	3.763	6.82	-2.69	1.51
	47.03	16.64	73.82	0.00	0.0694	12.70	558.9	414.58	0.0319	208.4	3.750	6.80	-2.73	1.51
	48.05	16.66	73.85	0.00	0.0694	12.68	558.0	413.80	0.0321	211.0	3.799	6.89	-2.56	1.51
	49.03	16.64	73.82	0.00	0.0693	12.68	557.9	413.77	0.0324	212.0	3.815	6.92	-2.50	1.51
	50.05	16.66	73.77	0.00	0.0693	12.65	556.4	413.01	0.0324	216.6	3.898	7.07	-2.21	1.51
	51.03	16.64	73.82	0.00	0.0690	12.62	555.3	411.91	0.0340	221.6	3.990	7.23	-1.90	1.51
	52.03	16.67	73.80	0.00	0.0688	12.53	551.4	409.20	0.0358	245.2	4.413	8.01	-0.52	1.51
	53.11	16.66	73.88	0.00	0.0692	12.61	555.0	411.41	0.0333	225.5	4.059	7.35	-1.67	1.51
	54.03	16.69	73.85	0.00	0.0692	12.65	556.5	412.72	0.0330	217.2	3.910	7.09	-2.17	1.51
