Jun 29 2017 at 9:55:50
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.02	23.64	73.80	0.00	0.0659	11.89	523.2	397.62	0.0417	298.0	5.364	9.96	2.52	1.62
	1.00	23.60	73.82	0.00	0.0662	11.90	523.4	397.54	0.0428	296.1	5.330	9.90	2.42	1.61
	2.02	23.64	73.82	0.00	0.0661	11.91	523.9	397.97	0.0430	311.2	5.601	10.40	3.13	1.61
	3.00	23.64	73.80	0.00	0.0660	11.91	524.0	398.21	0.0426	313.8	5.649	10.49	3.25	1.61
	4.02	23.66	73.82	0.00	0.0660	11.89	523.1	397.41	0.0430	303.8	5.468	10.15	2.79	1.61
	5.00	23.66	73.82	0.00	0.0659	11.89	523.2	397.45	0.0432	304.9	5.488	10.19	2.84	1.62
	6.02	23.64	73.82	0.00	0.0659	11.90	523.4	397.61	0.0436	311.2	5.602	10.40	3.13	1.62
	7.00	23.67	73.82	0.00	0.0660	11.89	523.1	397.39	0.0436	309.6	5.573	10.35	3.06	1.61
	8.02	23.67	73.82	0.00	0.0660	11.91	523.9	397.99	0.0439	317.7	5.718	10.62	3.42	1.62
	9.00	23.69	73.80	0.00	0.0664	11.92	524.4	398.60	0.0462	321.3	5.784	10.75	3.58	1.62
	10.00	23.71	73.80	0.00	0.0662	11.93	524.7	398.85	0.0465	333.2	5.997	11.14	4.10	1.62
	11.00	23.65	73.80	0.00	0.0661	11.92	524.4	398.49	0.0455	335.0	6.030	11.20	4.17	1.62
	12.00	23.69	73.80	0.00	0.0661	11.91	524.2	398.40	0.0451	334.0	6.013	11.17	4.13	1.62
	13.08	23.69	73.80	0.00	0.0660	11.90	523.7	398.02	0.0454	325.8	5.864	10.89	3.78	1.61
	14.00	23.67	73.82	0.00	0.0661	11.91	524.2	398.23	0.0456	329.8	5.936	11.02	3.95	1.62
	15.02	23.67	73.80	0.00	0.0660	11.90	523.8	398.07	0.0458	328.7	5.917	10.99	3.91	1.62
	16.00	23.71	73.82	0.00	0.0661	11.90	523.7	397.93	0.0456	330.0	5.941	11.03	3.96	1.61
	17.02	23.71	73.80	0.00	0.0661	11.91	524.0	398.27	0.0458	331.9	5.974	11.10	4.04	1.62
	18.00	23.71	73.77	0.00	0.0661	11.91	523.8	398.29	0.0457	331.7	5.971	11.10	4.04	1.62
	19.02	23.73	73.82	0.00	0.0662	11.95	525.6	399.41	0.0465	339.2	6.105	11.34	4.35	1.62
	20.00	23.69	73.82	0.00	0.0661	11.92	524.6	398.56	0.0462	336.8	6.062	11.26	4.25	1.62
	21.02	23.73	73.80	0.00	0.0661	11.91	524.0	398.33	0.0464	335.6	6.041	11.23	4.20	1.62
	22.00	23.74	73.82	0.00	0.0661	11.92	524.7	398.72	0.0467	337.8	6.080	11.29	4.29	1.62
	23.02	23.71	73.80	0.00	0.0662	11.96	526.3	400.07	0.0473	357.3	6.432	11.95	5.10	1.62
	24.00	23.73	73.80	0.00	0.0660	11.95	525.6	399.56	0.0472	347.8	6.260	11.63	4.71	1.62
	25.00	23.73	73.80	0.00	0.0663	11.95	525.7	399.58	0.0479	349.3	6.288	11.68	4.77	1.62
