Jun 29 2017 at 10:07:09
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.16	25.99	73.82	0.00	0.0668	11.99	527.5	403.88	0.0478	330.3	5.945	11.13	4.08	1.65
	1.16	25.97	73.80	0.00	0.0662	11.89	523.2	400.68	0.0486	362.3	6.522	12.21	5.41	1.65
	2.16	25.98	73.77	0.00	0.0675	12.27	540.1	413.80	0.0388	269.0	4.841	9.07	1.19	1.65
	3.16	26.01	73.80	0.00	0.0670	12.16	535.1	409.85	0.0400	279.6	5.034	9.42	1.74	1.65
	4.16	25.99	73.77	0.00	0.0673	12.15	534.6	409.62	0.0373	275.9	4.966	9.30	1.55	1.65
	5.14	25.98	73.80	0.00	0.0674	12.23	538.1	412.14	0.0338	227.3	4.092	7.66	-1.12	1.65
	6.16	26.02	73.80	0.00	0.0679	12.24	538.5	412.48	0.0353	256.6	4.619	8.65	0.54	1.65
	7.14	26.02	73.82	0.00	0.0667	12.08	531.5	407.03	0.0374	259.6	4.673	8.75	0.70	1.65
	8.16	26.01	73.77	0.00	0.0665	12.12	533.3	408.61	0.0370	244.3	4.398	8.24	-0.13	1.65
	9.14	25.98	73.80	0.00	0.0668	12.04	529.6	405.64	0.0356	235.6	4.242	7.94	-0.63	1.65
	10.16	26.02	73.82	0.00	0.0667	12.11	533.0	408.17	0.0454	328.1	5.905	11.05	3.99	1.65
	11.14	26.00	73.80	0.00	0.0667	12.09	532.1	407.61	0.0461	299.2	5.386	10.08	2.68	1.65
	12.16	25.98	73.80	0.00	0.0663	12.16	534.9	409.71	0.0423	283.9	5.110	9.57	1.95	1.65
	13.16	26.02	73.77	0.00	0.0673	12.26	539.6	413.48	0.0388	267.8	4.821	9.03	1.14	1.65
	14.16	26.07	73.80	0.00	0.0676	12.24	538.6	412.61	0.0363	242.5	4.365	8.17	-0.24	1.65
	15.16	26.04	73.82	0.00	0.0673	12.18	535.8	410.28	0.0376	249.5	4.490	8.41	0.15	1.65
	16.16	26.04	73.80	0.00	0.0670	12.16	535.0	409.88	0.0371	250.9	4.516	8.46	0.23	1.65
	17.16	26.04	73.80	0.00	0.0675	12.19	536.2	410.80	0.0328	228.3	4.109	7.70	-1.06	1.65
	18.16	26.04	73.80	0.00	0.0673	12.21	537.1	411.43	0.0334	230.0	4.140	7.75	-0.96	1.65
	19.16	26.02	73.77	0.00	0.0674	12.15	534.4	409.53	0.0320	223.8	4.028	7.54	-1.34	1.65
	20.16	26.06	73.80	0.00	0.0671	12.19	536.3	410.83	0.0348	226.9	4.084	7.65	-1.15	1.65
	21.16	26.06	73.80	0.00	0.0671	12.18	535.8	410.49	0.0348	225.2	4.054	7.59	-1.25	1.65
	22.14	26.04	73.80	0.00	0.0669	12.11	532.8	408.13	0.0354	239.8	4.316	8.08	-0.39	1.65
	23.16	26.06	73.82	0.00	0.0665	12.08	531.5	407.05	0.0367	236.5	4.257	7.97	-0.58	1.65
	24.14	26.08	73.77	0.00	0.0664	11.95	525.9	403.04	0.0400	272.5	4.905	9.19	1.38	1.65
	25.16	26.08	73.77	0.00	0.0665	12.14	534.4	409.56	0.0405	258.4	4.651	8.71	0.64	1.65
	26.22	26.08	73.82	0.00	0.0666	12.16	535.1	409.84	0.0385	264.6	4.762	8.92	0.97	1.65
	27.16	26.08	73.80	0.00	0.0664	12.23	538.2	412.37	0.0381	227.5	4.094	7.67	-1.11	1.65
	28.16	26.08	73.80	0.00	0.0669	12.13	533.8	408.98	0.0337	224.1	4.034	7.56	-1.31	1.65
	29.16	26.12	73.80	0.00	0.0669	12.10	532.5	408.04	0.0324	220.3	3.966	7.43	-1.54	1.65
	30.16	26.10	73.80	0.00	0.0681	12.32	542.1	415.35	0.0316	206.3	3.714	6.96	-2.43	1.65
	31.16	26.10	73.77	0.00	0.0680	12.42	546.5	418.86	0.0326	220.8	3.975	7.45	-1.51	1.65
	32.16	26.10	73.80	0.00	0.0671	12.12	533.3	408.59	0.0352	232.3	4.181	7.83	-0.82	1.65
	33.16	26.10	73.80	0.00	0.0672	12.24	538.4	412.53	0.0325	222.6	4.006	7.50	-1.41	1.65
	34.16	26.08	73.72	0.00	0.0670	12.12	533.1	408.85	0.0337	222.4	4.003	7.50	-1.42	1.65
	35.14	26.14	73.82	0.00	0.0674	12.19	536.5	410.99	0.0338	220.7	3.972	7.44	-1.52	1.65
	36.16	26.08	73.80	0.00	0.0676	12.21	537.3	411.69	0.0323	218.9	3.941	7.38	-1.63	1.65
